snapshot,tier,list_rank,ticker,price,price_date,mb_research,ev_research,technical_research,market_refreshed_at,source_reviewed_at,promotion_blocker
2026-09-06T191051Z-membership_migration,action,1,ETN,410.8500061035156,2026-09-04,73.81742599959672,55.91924193876439,40.48268040445756,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Use 14% organic growth, not 21% acquisition-inclusive growth.; Acquisition-related debt and a high starting market capitalization constrain per-share multibagger potential."
2026-09-06T191051Z-membership_migration,action,2,ZETA,31.350000381469727,2026-09-04,72.27293871254759,66.01693056798202,83.24687217044453,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Reported growth includes acquired revenue; no invented organic growth, so current-growth subcomponent is excluded."
2026-09-06T191051Z-membership_migration,action,3,HUBB,460.7200012207031,2026-09-04,70.25309925232233,63.73183147681212,25.057414152616644,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Use 10% organic growth, not 15% acquisition-inclusive growth.; NSI acquisition increased debt; the historical low-leverage narrative no longer describes the latest balance sheet."
2026-09-06T191051Z-membership_migration,action,4,VST,149.3000030517578,2026-09-04,68.33640323257958,60.55301239331618,60.05627515243009,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Use conventional CFO-minus-total-capex, not issuer free-cash-flow-before-growth.; Hedging, derivatives and acquisition timing complicate GAAP margins; trailing/forward ratio definitions must remain separate."
2026-09-06T191051Z-membership_migration,action,5,FIGR,35.959999084472656,2026-09-04,66.1902448640725,59.07533209575477,64.92602042885609,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Latest-quarter net revenue differs from vendor standardization. Finance-company CFO, gross profit and EV are not directly comparable to industrial/software companies.; September 1 Kiavi acquisition is not incorporated in the June balance sheet; the mechanical score is not promotion-ready."
2026-09-06T191051Z-membership_migration,action,6,CRMD,8.430000305175781,2026-09-04,65.90310729651831,67.2481677643295,76.59742656145417,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,Bridge grant-inclusive GAAP revenue from annual and half-year figures; do not use a mixed standardized revenue denominator.; Trailing cash generation is not a sustainable forecast: FY2026 revenue guidance is $325-345M and FY+1 consensus declines; TDAPA reimbursement transition is material.
2026-09-06T191051Z-membership_migration,action,7,AXTI,61.63999938964844,2026-09-04,63.170923685565576,51.90593600311274,33.14120938033789,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,China manufacturing/export permits and the substrate cycle can undermine extrapolated AI-driven growth.
2026-09-06T191051Z-membership_migration,action,8,KTOS,47.81999969482422,2026-09-04,62.09315798393596,45.607903960471646,13.055551883893084,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Use 19.1% organic growth, not 30.5% acquisition-inclusive growth.; Issuer Q2 FCF includes $9.3M asset-sale proceeds; model excludes such proceeds and uses CFO-minus-capex."
2026-09-06T191051Z-membership_migration,action,9,EVLV,5.0,2026-09-04,58.961169683588494,54.075996711949415,16.711316874913596,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,ARR growth is distinct from purchase/subscription hardware revenue; do not equate all revenue growth with recurring growth.
2026-09-06T191051Z-membership_migration,action,10,RKLB,64.26000213623047,2026-09-04,58.47354551263367,12.386935306665032,15.979714991822755,2026-09-06T13:22:26.871829+00:00,2026-09-06T13:22:26.871829+00:00,"Material acquisition contributions were not separated from latest revenue growth; exclude that half of the growth factor.; Neutron execution, capital spending and financing remain key risks."
